Date Time,Open,High,Low,Close,Volume,Adj Close,Quote Volume,Trades Count
2018-01-01 00:00:00,13715.65000000,13818.55000000,12750.00000000,13380.00000000,8609.91584400,13380.00000000,114799747.44197057,105595
2018-01-02 00:00:00,13382.16000000,15473.49000000,12890.02000000,14675.11000000,20078.09211100,14675.11000000,279717107.43371920,177728
2018-01-03 00:00:00,14690.00000000,15307.56000000,14150.00000000,14919.51000000,15905.66763900,14919.51000000,236116868.33619011,162787
2018-01-04 00:00:00,14919.51000000,15280.00000000,13918.04000000,15059.54000000,21329.64957400,15059.54000000,312781583.79830782,170310
2018-01-05 00:00:00,15059.56000000,17176.24000000,14600.00000000,16960.39000000,23251.49112500,16960.39000000,369321956.48683753,192969
2018-01-06 00:00:00,16960.39000000,17143.13000000,16011.21000000,17069.79000000,18571.45750800,17069.79000000,309216920.98641042,158242
2018-01-07 00:00:00,17069.79000000,17099.96000000,15610.00000000,16150.03000000,12493.12555800,16150.03000000,206194706.37068353,120269
2018-01-08 00:00:00,16218.85000000,16322.30000000,12812.00000000,14902.54000000,26600.60991200,14902.54000000,396569997.15746266,208642
2018-01-09 00:00:00,14902.54000000,15500.00000000,14011.05000000,14400.00000000,14315.00425300,14400.00000000,210630187.45766862,156656
2018-01-10 00:00:00,14401.00000000,14955.66000000,13131.31000000,14907.09000000,17411.00165500,14907.09000000,244011366.76302799,161476
2018-01-11 00:00:00,14940.00000000,14968.68000000,11400.00000000,13238.78000000,33554.72375100,13238.78000000,446587594.69373790,239416
2018-01-12 00:00:00,13238.76000000,14109.78000000,12500.00000000,13740.01000000,16417.16213700,13740.01000000,222516076.27145907,134452
2018-01-13 00:00:00,13749.95000000,14580.00000000,13706.15000000,14210.00000000,12221.50852800,14210.00000000,173086488.54788404,123639
2018-01-14 00:00:00,14210.00000000,14339.50000000,12569.20000000,13474.99000000,17017.89432900,13474.99000000,226525305.12938110,152364
2018-01-15 00:00:00,13477.98000000,14249.99000000,13147.79000000,13539.93000000,14652.09470500,13539.93000000,200614554.53834300,145362
2018-01-16 00:00:00,13500.00000000,13542.93000000,9035.00000000,10900.00000000,63401.16917500,10900.00000000,722150828.14940244,418243
2018-01-17 00:00:00,10899.99000000,11680.99000000,9037.94000000,10988.79000000,72331.79664600,10988.79000000,744154180.13120590,517293
2018-01-18 00:00:00,10972.59000000,11878.82000000,10435.33000000,10961.97000000,48464.43493700,10961.97000000,541289614.05840462,393112
2018-01-19 00:00:00,10960.00000000,11795.00000000,10360.00000000,11474.98000000,34129.37542100,11474.98000000,382773499.22657920,273271
2018-01-20 00:00:00,11474.98000000,13099.00000000,11412.45000000,12799.94000000,28768.85782700,12799.94000000,358561107.78097045,251647
2018-01-21 00:00:00,12799.80000000,12799.80000000,10965.00000000,11530.00000000,41379.77342600,11530.00000000,485289230.81889239,360207
2018-01-22 00:00:00,11530.00000000,11926.35000000,9900.24000000,10760.05000000,43752.60679100,10760.05000000,475716514.20869704,363264
2018-01-23 00:00:00,10760.05000000,11399.00000000,9905.00000000,10799.18000000,37473.92255200,10799.18000000,399419413.23298073,355286
