Date Time,Open,High,Low,Close,Volume,Adj Close,Quote Volume,Trades Count
2018-01-01 00:00:00,13715.65000000,13715.65000000,13155.38000000,13410.03000000,1676.20480700,13410.03000000,22516071.86700722,19438
2018-01-01 04:00:00,13434.98000000,13818.55000000,13322.15000000,13570.35000000,1302.21483600,13570.35000000,17702535.72458806,18061
2018-01-01 08:00:00,13569.98000000,13735.24000000,13001.13000000,13220.56000000,1319.75593100,13220.56000000,17651208.19673553,17200
2018-01-01 12:00:00,13220.56000000,13330.00000000,12750.00000000,13247.00000000,1831.93315300,13247.00000000,23912591.04195568,21357
2018-01-01 16:00:00,13247.00000000,13290.65000000,12940.00000000,13240.37000000,1092.33723400,13240.37000000,14348870.61377443,13178
2018-01-01 20:00:00,13222.03000000,13599.70000000,13222.03000000,13380.00000000,1387.46988300,13380.00000000,18668469.99790965,16361
2018-01-02 00:00:00,13382.16000000,13850.00000000,13231.96000000,13353.78000000,2365.53292600,13353.78000000,32053629.30695065,28312
2018-01-02 04:00:00,13353.78000000,13480.84000000,12890.02000000,13343.00000000,2980.31605300,13343.00000000,39346268.56821580,22814
2018-01-02 08:00:00,13343.01000000,13617.28000000,13302.59000000,13490.00000000,2596.18267400,13490.00000000,34930623.29101847,18513
2018-01-02 12:00:00,13490.00000000,13894.86000000,13450.46000000,13690.03000000,3365.87950800,13690.03000000,45967260.36887162,29401
2018-01-02 16:00:00,13690.02000000,15473.49000000,13503.00000000,14732.75000000,5090.27348300,14732.75000000,72855897.71757299,49057
2018-01-02 20:00:00,14710.02000000,15160.31000000,14544.00000000,14675.11000000,3679.90746700,14675.11000000,54563428.18108967,29631
2018-01-03 00:00:00,14690.00000000,15299.99000000,14660.00000000,14818.49000000,3303.83359000,14818.49000000,49173973.82548296,27105
2018-01-03 04:00:00,14805.81000000,15307.56000000,14795.05000000,15170.00000000,3211.70206700,15170.00000000,48360266.66122553,27848
2018-01-03 08:00:00,15170.00000000,15172.99000000,14150.00000000,14730.05000000,4202.80294200,14730.05000000,61658918.83423734,37851
2018-01-03 12:00:00,14764.73000000,15045.51000000,14400.04000000,15033.77000000,2082.73412500,15033.77000000,30797789.49485227,26696
2018-01-03 16:00:00,15045.00000000,15130.00000000,14671.00000000,14700.01000000,1659.69735300,14700.01000000,24715811.05097705,24082
2018-01-03 20:00:00,14700.01000000,14990.00000000,14683.00000000,14919.51000000,1444.89756200,14919.51000000,21410108.46941496,19205
2018-01-04 00:00:00,14919.51000000,15280.00000000,14649.99000000,15119.97000000,3062.53564600,15119.97000000,45796189.91854075,25901
2018-01-04 04:00:00,15119.97000000,15119.97000000,14685.00000000,14748.00000000,2839.90044200,14748.00000000,42215770.42386110,22843
2018-01-04 08:00:00,14734.07000000,14800.00000000,13918.04000000,14539.97000000,4339.55205100,14539.97000000,62412829.49242401,33344
2018-01-04 12:00:00,14539.99000000,14653.40000000,14181.88000000,14353.01000000,3960.83118500,14353.01000000,57268257.26960831,32978
2018-01-04 16:00:00,14367.99000000,14988.00000000,14238.01000000,14895.19000000,3636.61612600,14895.19000000,53122079.99882948,28670
2018-01-04 20:00:00,14905.00000000,15100.08000000,14601.00000000,15059.54000000,3490.21412400,15059.54000000,51966456.69504417,26574
2018-01-05 00:00:00,15059.56000000,15200.00000000,14642.00000000,14965.37000000,3624.97469000,14965.37000000,54425916.13053777,28051
2018-01-05 04:00:00,14970.00000000,15083.63000000,14600.00000000,14920.14000000,3434.49877900,14920.14000000,51210966.01015937,26622
2018-01-05 08:00:00,14916.95000000,16350.00000000,14880.00000000,16090.69000000,4235.32476200,16090.69000000,66819024.04049975,41596
2018-01-05 12:00:00,16090.70000000,16267.04000000,15750.00000000,16087.72000000,3780.80103500,16087.72000000,60557737.55699459,30152
